```
Abandon, to . | Kolekia. Kotiga.
" (throw away) | Kotee. Koruta.
Abash, to . | Kuikira thoni.
Abashment, n. . | Thoni.
Abate, to . | Korutaruta. Kothirathira. Konyihanyiha.
Abdomen, n. . | Kĩyau (I-).
Abduct, to . | Kokwata na hinya. Kotunyana.
Abhor, to . | Kothora.
Abhorrence, n. . | Othorĩ.
Abide, to . | Kuikara. Kotura.
", by, to . | Kokwata.
Ability, n. . | Kehoti. Ogi.
Able, to be . | Kohota.
Able, adj. . | -hoticwa wera, etc. -a ogĩ.
Ablution, to perform . | Kothambia.
Abode, n. . | Nyumba. (s. & p.) Muchĩyi (Mĩ-). Keturi (Ma-).
Abolish, to . | Kothengia. Koheeria. Koruta.
Abominate, to . | Kothora.
Abomination, n. . | Kethoro (I-).
```
