```
ENGLISH-KIKUYU VOCABULARY. | 9

Accusation, n. . | Kechĩrithĩo.
Accuse, to . | Kochĩrithĩa.
Accustom, to . | Komenyerĩa.
Accustomed, to be . | Komenyera.
Acerbity, n. . | Orurũ.
Ache, to . | Koreca.
Achieve, to . | Konĩna. Kothĩra. Kuona. Koruta.
Acid, adj. . | -rurũ.
Acknowledge, to . | Kombura. Kuĩtikĩa.
Acquaint, to . | Kohee uhoro. Komenyĩ.
Acquaintance, n. (friend) | Mũcheri (A-). Ndũgũ (s. & p.)
Acquiesce in, to . | Kuĩtikia.
Acquiescence, n. . | Weitĩkio.
Acquire, to . | Kuona. Kokwata.
Acquit, to . | Kotiga.
Acrid, adj. . | -roru.
Across, to go . | Koroga. Korĩnga.
Act, to . | Koruta. Kuĩka. (pretend) Kuĩruta.
" n. (law) . | Uhoro. Kerera.
Action, n. . | Keruti (I-). Keĩki (I-).
" a man of . | Mũndũ wa hinya (A-).
" n. (fight) . | Ĩta. Mbara.
" (prosecution) | Mũchĩrithĩo (Mĩ-).
Active, to be . | Kogea na ohĩyo.
" adj. . | -hĩyo.
Activity, n. . | Ohĩyo.
Actor, n. . | Mũrutĩ (A-). Mũiruti (A-).
" (personator) | Mũiruti (A-).
Actual . | Tĩtherũ.
Acumen, n. . | Ogĩ.
Acute, adj. . | -a ogĩ.
Acuteness, n. . | Ogĩ.
```
